,n,GroundTruth,Static,Looped,ॐ Function (Strict)
935,1881,Composite,Composite,Composite,Prime
938,1887,Composite,Prime,Prime,Prime
940,1891,Composite,Composite,Composite,Prime
941,1893,Composite,Prime,Prime,Prime
943,1897,Composite,Prime,Prime,Prime
945,1901,Prime,Composite,Composite,Prime
946,1903,Composite,Prime,Composite,Prime
949,1909,Composite,Prime,Composite,Prime
950,1911,Composite,Composite,Composite,Prime
954,1919,Composite,Prime,Composite,Prime
955,1921,Composite,Composite,Composite,Prime
956,1923,Composite,Prime,Prime,Prime
958,1927,Composite,Prime,Composite,Prime
960,1931,Prime,Composite,Composite,Prime
963,1937,Composite,Prime,Composite,Prime
965,1941,Composite,Composite,Composite,Prime
966,1943,Composite,Prime,Composite,Prime
968,1947,Composite,Prime,Composite,Prime
970,1951,Prime,Composite,Composite,Prime
973,1957,Composite,Prime,Composite,Prime
975,1961,Composite,Composite,Composite,Prime
976,1963,Composite,Prime,Prime,Prime
978,1967,Composite,Prime,Prime,Prime
979,1969,Composite,Prime,Composite,Prime
980,1971,Composite,Composite,Composite,Prime
983,1977,Composite,Prime,Prime,Prime
985,1981,Composite,Composite,Composite,Prime
986,1983,Composite,Prime,Prime,Prime
990,1991,Composite,Composite,Composite,Prime
995,2001,Composite,Composite,Composite,Prime
1000,2011,Prime,Composite,Composite,Prime
1001,2013,Composite,Prime,Composite,Prime
1005,2021,Composite,Composite,Composite,Prime
1010,2031,Composite,Composite,Composite,Prime
1011,2033,Composite,Prime,Composite,Prime
1013,2037,Composite,Prime,Prime,Prime
1015,2041,Composite,Composite,Composite,Prime
1016,2043,Composite,Prime,Prime,Prime
1018,2047,Composite,Prime,Composite,Prime
1020,2051,Composite,Composite,Composite,Prime
1023,2057,Composite,Prime,Composite,Prime
1024,2059,Composite,Prime,Composite,Prime
1025,2061,Composite,Composite,Composite,Prime
1028,2067,Composite,Prime,Composite,Prime
1030,2071,Composite,Composite,Composite,Prime
1031,2073,Composite,Prime,Prime,Prime
1033,2077,Composite,Prime,Composite,Prime
1035,2081,Prime,Composite,Composite,Prime
1040,2091,Composite,Composite,Composite,Prime
1045,2101,Composite,Composite,Composite,Prime
1046,2103,Composite,Prime,Prime,Prime
1048,2107,Composite,Prime,Composite,Prime
1050,2111,Prime,Composite,Composite,Prime
1053,2117,Composite,Prime,Composite,Prime
1054,2119,Composite,Prime,Composite,Prime
1055,2121,Composite,Composite,Composite,Prime
1056,2123,Composite,Prime,Composite,Prime
1058,2127,Composite,Prime,Prime,Prime
1060,2131,Prime,Composite,Composite,Prime
1061,2133,Composite,Prime,Composite,Prime
1065,2141,Prime,Composite,Composite,Prime
1068,2147,Composite,Prime,Composite,Prime
1070,2151,Composite,Composite,Composite,Prime
1073,2157,Composite,Prime,Prime,Prime
1074,2159,Composite,Prime,Composite,Prime
1075,2161,Prime,Composite,Composite,Prime
1078,2167,Composite,Prime,Composite,Prime
1080,2171,Composite,Composite,Composite,Prime
1081,2173,Composite,Prime,Composite,Prime
1083,2177,Composite,Prime,Prime,Prime
1085,2181,Composite,Composite,Composite,Prime
1086,2183,Composite,Prime,Composite,Prime
1089,2189,Composite,Prime,Composite,Prime
1090,2191,Composite,Composite,Composite,Prime
1091,2193,Composite,Prime,Composite,Prime
1093,2197,Composite,Prime,Composite,Prime
1095,2201,Composite,Composite,Composite,Prime
1099,2209,Composite,Prime,Composite,Prime
1100,2211,Composite,Composite,Composite,Prime
1103,2217,Composite,Prime,Prime,Prime
1105,2221,Prime,Composite,Composite,Prime
1106,2223,Composite,Prime,Composite,Prime
1108,2227,Composite,Prime,Prime,Prime
1110,2231,Composite,Composite,Composite,Prime
1115,2241,Composite,Composite,Composite,Prime
1118,2247,Composite,Prime,Prime,Prime
1119,2249,Composite,Prime,Composite,Prime
1120,2251,Prime,Composite,Composite,Prime
1121,2253,Composite,Prime,Prime,Prime
1123,2257,Composite,Prime,Composite,Prime
1125,2261,Composite,Composite,Composite,Prime
1126,2263,Composite,Prime,Composite,Prime
1130,2271,Composite,Composite,Composite,Prime
1134,2279,Composite,Prime,Composite,Prime
1135,2281,Prime,Composite,Composite,Prime
1136,2283,Composite,Prime,Prime,Prime
1140,2291,Composite,Composite,Composite,Prime
1144,2299,Composite,Prime,Composite,Prime
1145,2301,Composite,Composite,Composite,Prime
1148,2307,Composite,Prime,Prime,Prime
1150,2311,Prime,Composite,Composite,Prime
1151,2313,Composite,Prime,Prime,Prime
1153,2317,Composite,Prime,Prime,Prime
1155,2321,Composite,Composite,Composite,Prime
1156,2323,Composite,Prime,Composite,Prime
1158,2327,Composite,Prime,Composite,Prime
1159,2329,Composite,Prime,Composite,Prime
1160,2331,Composite,Composite,Composite,Prime
1163,2337,Composite,Prime,Composite,Prime
1165,2341,Prime,Composite,Composite,Prime
1166,2343,Composite,Prime,Composite,Prime
1170,2351,Prime,Composite,Composite,Prime
1171,2353,Composite,Prime,Prime,Prime
1175,2361,Composite,Composite,Composite,Prime
1176,2363,Composite,Prime,Composite,Prime
1179,2369,Composite,Prime,Composite,Prime
1180,2371,Prime,Composite,Composite,Prime
1185,2381,Prime,Composite,Composite,Prime
1188,2387,Composite,Prime,Composite,Prime
1190,2391,Composite,Composite,Composite,Prime
1193,2397,Composite,Prime,Prime,Prime
1195,2401,Composite,Composite,Composite,Prime
1196,2403,Composite,Prime,Prime,Prime
1198,2407,Composite,Prime,Composite,Prime
1200,2411,Prime,Composite,Composite,Prime
1201,2413,Composite,Prime,Composite,Prime
1204,2419,Composite,Prime,Composite,Prime
1205,2421,Composite,Composite,Composite,Prime
1208,2427,Composite,Prime,Prime,Prime
1210,2431,Composite,Composite,Composite,Prime
1211,2433,Composite,Prime,Prime,Prime
1215,2441,Prime,Composite,Composite,Prime
1219,2449,Composite,Prime,Composite,Prime
1220,2451,Composite,Composite,Composite,Prime
1221,2453,Composite,Prime,Composite,Prime
1225,2461,Composite,Composite,Composite,Prime
1226,2463,Composite,Prime,Prime,Prime
1230,2471,Composite,Composite,Composite,Prime
1234,2479,Composite,Prime,Composite,Prime
1235,2481,Composite,Composite,Composite,Prime
1236,2483,Composite,Prime,Prime,Prime
1238,2487,Composite,Prime,Prime,Prime
1239,2489,Composite,Prime,Composite,Prime
1240,2491,Composite,Composite,Composite,Prime
1241,2493,Composite,Prime,Prime,Prime
1243,2497,Composite,Prime,Composite,Prime
1245,2501,Composite,Composite,Composite,Prime
1248,2507,Composite,Prime,Composite,Prime
1249,2509,Composite,Prime,Composite,Prime
1250,2511,Composite,Composite,Composite,Prime
1253,2517,Composite,Prime,Prime,Prime
1254,2519,Composite,Prime,Composite,Prime
1255,2521,Prime,Composite,Composite,Prime
1256,2523,Composite,Prime,Composite,Prime
1258,2527,Composite,Prime,Composite,Prime
1260,2531,Prime,Composite,Composite,Prime
1261,2533,Composite,Prime,Composite,Prime
1263,2537,Composite,Prime,Composite,Prime
1265,2541,Composite,Composite,Composite,Prime
1270,2551,Prime,Composite,Composite,Prime
1271,2553,Composite,Prime,Composite,Prime
1275,2561,Composite,Composite,Composite,Prime
1276,2563,Composite,Prime,Composite,Prime
1278,2567,Composite,Prime,Prime,Prime
1280,2571,Composite,Composite,Composite,Prime
1281,2573,Composite,Prime,Composite,Prime
