,n,GroundTruth,Static,Looped,ॐ Function (Strict)
4066,8143,Composite,Prime,Composite,Prime
4069,8149,Composite,Prime,Prime,Prime
4070,8151,Composite,Composite,Composite,Prime
4071,8153,Composite,Prime,Composite,Prime
4073,8157,Composite,Prime,Prime,Prime
4074,8159,Composite,Prime,Composite,Prime
4075,8161,Prime,Composite,Composite,Prime
4076,8163,Composite,Prime,Prime,Prime
4080,8171,Prime,Composite,Composite,Prime
4081,8173,Composite,Prime,Composite,Prime
4083,8177,Composite,Prime,Composite,Prime
4085,8181,Composite,Composite,Composite,Prime
4088,8187,Composite,Prime,Prime,Prime
4089,8189,Composite,Prime,Prime,Prime
4090,8191,Prime,Composite,Composite,Prime
4091,8193,Composite,Prime,Prime,Prime
4093,8197,Composite,Prime,Prime,Prime
4095,8201,Composite,Composite,Composite,Prime
4096,8203,Composite,Prime,Prime,Prime
4098,8207,Composite,Prime,Composite,Prime
4100,8211,Composite,Composite,Composite,Prime
4101,8213,Composite,Prime,Composite,Prime
4105,8221,Prime,Composite,Composite,Prime
4106,8223,Composite,Prime,Prime,Prime
4108,8227,Composite,Prime,Composite,Prime
4110,8231,Prime,Composite,Composite,Prime
4115,8241,Composite,Composite,Composite,Prime
4118,8247,Composite,Prime,Prime,Prime
4119,8249,Composite,Prime,Composite,Prime
4120,8251,Composite,Composite,Composite,Prime
4123,8257,Composite,Prime,Composite,Prime
4125,8261,Composite,Composite,Composite,Prime
4128,8267,Composite,Prime,Prime,Prime
4130,8271,Composite,Composite,Composite,Prime
4133,8277,Composite,Prime,Composite,Prime
4134,8279,Composite,Prime,Composite,Prime
4135,8281,Composite,Composite,Composite,Prime
4136,8283,Composite,Prime,Composite,Prime
4140,8291,Prime,Composite,Composite,Prime
4144,8299,Composite,Prime,Composite,Prime
4145,8301,Composite,Composite,Composite,Prime
4146,8303,Composite,Prime,Composite,Prime
4150,8311,Prime,Composite,Composite,Prime
4151,8313,Composite,Prime,Composite,Prime
4155,8321,Composite,Composite,Composite,Prime
4158,8327,Composite,Prime,Composite,Prime
4160,8331,Composite,Composite,Composite,Prime
4161,8333,Composite,Prime,Prime,Prime
4163,8337,Composite,Prime,Prime,Prime
4164,8339,Composite,Prime,Composite,Prime
4165,8341,Composite,Composite,Composite,Prime
4166,8343,Composite,Prime,Composite,Prime
4168,8347,Composite,Prime,Prime,Prime
4170,8351,Composite,Composite,Composite,Prime
4173,8357,Composite,Prime,Composite,Prime
4174,8359,Composite,Prime,Composite,Prime
4175,8361,Composite,Composite,Composite,Prime
4178,8367,Composite,Prime,Prime,Prime
4180,8371,Composite,Composite,Composite,Prime
4181,8373,Composite,Prime,Prime,Prime
4185,8381,Composite,Composite,Composite,Prime
4186,8383,Composite,Prime,Composite,Prime
4190,8391,Composite,Composite,Composite,Prime
4194,8399,Composite,Prime,Composite,Prime
4195,8401,Composite,Composite,Composite,Prime
4196,8403,Composite,Prime,Prime,Prime
4198,8407,Composite,Prime,Prime,Prime
4200,8411,Composite,Composite,Composite,Prime
4201,8413,Composite,Prime,Composite,Prime
4203,8417,Composite,Prime,Composite,Prime
4205,8421,Composite,Composite,Composite,Prime
4208,8427,Composite,Prime,Composite,Prime
4210,8431,Prime,Composite,Composite,Prime
4211,8433,Composite,Prime,Prime,Prime
4213,8437,Composite,Prime,Composite,Prime
4215,8441,Composite,Composite,Composite,Prime
4220,8451,Composite,Composite,Composite,Prime
4221,8453,Composite,Prime,Composite,Prime
4223,8457,Composite,Prime,Prime,Prime
4224,8459,Composite,Prime,Composite,Prime
4225,8461,Prime,Composite,Composite,Prime
4230,8471,Composite,Composite,Composite,Prime
4231,8473,Composite,Prime,Composite,Prime
4233,8477,Composite,Prime,Composite,Prime
4234,8479,Composite,Prime,Composite,Prime
4235,8481,Composite,Composite,Composite,Prime
4236,8483,Composite,Prime,Composite,Prime
4239,8489,Composite,Prime,Composite,Prime
4240,8491,Composite,Composite,Composite,Prime
4241,8493,Composite,Prime,Composite,Prime
4243,8497,Composite,Prime,Composite,Prime
4245,8501,Prime,Composite,Composite,Prime
4246,8503,Composite,Prime,Composite,Prime
4248,8507,Composite,Prime,Prime,Prime
4249,8509,Composite,Prime,Composite,Prime
4250,8511,Composite,Composite,Composite,Prime
4253,8517,Composite,Prime,Prime,Prime
4255,8521,Prime,Composite,Composite,Prime
4256,8523,Composite,Prime,Prime,Prime
4260,8531,Composite,Composite,Composite,Prime
4265,8541,Composite,Composite,Composite,Prime
4268,8547,Composite,Prime,Composite,Prime
4269,8549,Composite,Prime,Composite,Prime
4270,8551,Composite,Composite,Composite,Prime
4271,8553,Composite,Prime,Prime,Prime
4273,8557,Composite,Prime,Composite,Prime
4275,8561,Composite,Composite,Composite,Prime
4278,8567,Composite,Prime,Composite,Prime
4279,8569,Composite,Prime,Composite,Prime
4280,8571,Composite,Composite,Composite,Prime
4284,8579,Composite,Prime,Composite,Prime
4285,8581,Prime,Composite,Composite,Prime
4286,8583,Composite,Prime,Prime,Prime
4288,8587,Composite,Prime,Composite,Prime
4290,8591,Composite,Composite,Composite,Prime
4291,8593,Composite,Prime,Prime,Prime
4295,8601,Composite,Composite,Composite,Prime
4298,8607,Composite,Prime,Composite,Prime
4300,8611,Composite,Composite,Composite,Prime
4301,8613,Composite,Prime,Composite,Prime
4303,8617,Composite,Prime,Prime,Prime
4305,8621,Composite,Composite,Composite,Prime
4310,8631,Composite,Composite,Composite,Prime
4311,8633,Composite,Prime,Composite,Prime
4313,8637,Composite,Prime,Prime,Prime
4314,8639,Composite,Prime,Composite,Prime
4315,8641,Prime,Composite,Composite,Prime
4316,8643,Composite,Prime,Composite,Prime
4320,8651,Composite,Composite,Composite,Prime
4321,8653,Composite,Prime,Composite,Prime
4323,8657,Composite,Prime,Composite,Prime
4325,8661,Composite,Composite,Composite,Prime
4330,8671,Composite,Composite,Composite,Prime
4335,8681,Prime,Composite,Composite,Prime
4336,8683,Composite,Prime,Composite,Prime
4338,8687,Composite,Prime,Composite,Prime
4340,8691,Composite,Composite,Composite,Prime
4343,8697,Composite,Prime,Composite,Prime
4345,8701,Composite,Composite,Composite,Prime
4346,8703,Composite,Prime,Prime,Prime
4350,8711,Composite,Composite,Composite,Prime
4353,8717,Composite,Prime,Composite,Prime
4355,8721,Composite,Composite,Composite,Prime
4356,8723,Composite,Prime,Composite,Prime
4358,8727,Composite,Prime,Prime,Prime
4360,8731,Prime,Composite,Composite,Prime
4361,8733,Composite,Prime,Composite,Prime
4365,8741,Prime,Composite,Composite,Prime
4369,8749,Composite,Prime,Composite,Prime
4370,8751,Composite,Composite,Composite,Prime
4374,8759,Composite,Prime,Prime,Prime
4375,8761,Prime,Composite,Composite,Prime
4376,8763,Composite,Prime,Composite,Prime
4378,8767,Composite,Prime,Composite,Prime
4380,8771,Composite,Composite,Composite,Prime
4381,8773,Composite,Prime,Composite,Prime
4383,8777,Composite,Prime,Composite,Prime
4385,8781,Composite,Composite,Composite,Prime
4388,8787,Composite,Prime,Composite,Prime
4389,8789,Composite,Prime,Composite,Prime
4390,8791,Composite,Composite,Composite,Prime
4391,8793,Composite,Prime,Prime,Prime
4393,8797,Composite,Prime,Composite,Prime
4395,8801,Composite,Composite,Composite,Prime
4399,8809,Composite,Prime,Composite,Prime
4400,8811,Composite,Composite,Composite,Prime
4403,8817,Composite,Prime,Prime,Prime
4405,8821,Prime,Composite,Composite,Prime
4406,8823,Composite,Prime,Composite,Prime
4408,8827,Composite,Prime,Composite,Prime
4410,8831,Prime,Composite,Composite,Prime
4411,8833,Composite,Prime,Composite,Prime
4415,8841,Composite,Composite,Composite,Prime
4416,8843,Composite,Prime,Composite,Prime
4420,8851,Composite,Composite,Composite,Prime
4421,8853,Composite,Prime,Composite,Prime
4423,8857,Composite,Prime,Prime,Prime
4425,8861,Prime,Composite,Composite,Prime
4430,8871,Composite,Composite,Composite,Prime
4431,8873,Composite,Prime,Composite,Prime
4433,8877,Composite,Prime,Composite,Prime
4434,8879,Composite,Prime,Composite,Prime
4435,8881,Composite,Composite,Composite,Prime
4440,8891,Composite,Composite,Composite,Prime
4443,8897,Composite,Prime,Composite,Prime
4444,8899,Composite,Prime,Composite,Prime
4445,8901,Composite,Composite,Composite,Prime
4446,8903,Composite,Prime,Composite,Prime
4448,8907,Composite,Prime,Prime,Prime
4449,8909,Composite,Prime,Composite,Prime
4450,8911,Composite,Composite,Composite,Prime
4451,8913,Composite,Prime,Prime,Prime
4453,8917,Composite,Prime,Prime,Prime
4455,8921,Composite,Composite,Composite,Prime
4458,8927,Composite,Prime,Composite,Prime
4460,8931,Composite,Composite,Composite,Prime
4465,8941,Prime,Composite,Composite,Prime
4466,8943,Composite,Prime,Composite,Prime
4468,8947,Composite,Prime,Composite,Prime
4470,8951,Prime,Composite,Composite,Prime
4473,8957,Composite,Prime,Composite,Prime
4474,8959,Composite,Prime,Composite,Prime
4475,8961,Composite,Composite,Composite,Prime
4478,8967,Composite,Prime,Composite,Prime
4480,8971,Prime,Composite,Composite,Prime
4481,8973,Composite,Prime,Prime,Prime
4483,8977,Composite,Prime,Prime,Prime
4485,8981,Composite,Composite,Composite,Prime
4486,8983,Composite,Prime,Prime,Prime
4488,8987,Composite,Prime,Composite,Prime
4489,8989,Composite,Prime,Composite,Prime
4490,8991,Composite,Composite,Composite,Prime
4491,8993,Composite,Prime,Composite,Prime
4493,8997,Composite,Prime,Prime,Prime
4495,9001,Prime,Composite,Composite,Prime
4496,9003,Composite,Prime,Prime,Prime
4500,9011,Prime,Composite,Composite,Prime
4503,9017,Composite,Prime,Composite,Prime
4504,9019,Composite,Prime,Prime,Prime
4505,9021,Composite,Composite,Composite,Prime
4510,9031,Composite,Composite,Composite,Prime
4511,9033,Composite,Prime,Prime,Prime
4513,9037,Composite,Prime,Prime,Prime
4515,9041,Prime,Composite,Composite,Prime
4518,9047,Composite,Prime,Composite,Prime
4520,9051,Composite,Composite,Composite,Prime
4521,9053,Composite,Prime,Composite,Prime
4523,9057,Composite,Prime,Prime,Prime
4525,9061,Composite,Composite,Composite,Prime
4526,9063,Composite,Prime,Composite,Prime
4530,9071,Composite,Composite,Composite,Prime
4531,9073,Composite,Prime,Composite,Prime
4533,9077,Composite,Prime,Composite,Prime
4535,9081,Composite,Composite,Composite,Prime
4536,9083,Composite,Prime,Composite,Prime
4538,9087,Composite,Prime,Composite,Prime
4539,9089,Composite,Prime,Composite,Prime
4540,9091,Prime,Composite,Composite,Prime
4543,9097,Composite,Prime,Composite,Prime
4545,9101,Composite,Composite,Composite,Prime
4548,9107,Composite,Prime,Prime,Prime
4550,9111,Composite,Composite,Composite,Prime
4551,9113,Composite,Prime,Prime,Prime
4554,9119,Composite,Prime,Composite,Prime
4555,9121,Composite,Composite,Composite,Prime
4556,9123,Composite,Prime,Prime,Prime
4560,9131,Composite,Composite,Composite,Prime
4564,9139,Composite,Prime,Composite,Prime
4565,9141,Composite,Composite,Composite,Prime
4566,9143,Composite,Prime,Composite,Prime
4568,9147,Composite,Prime,Prime,Prime
4570,9151,Prime,Composite,Composite,Prime
4571,9153,Composite,Prime,Composite,Prime
4575,9161,Prime,Composite,Composite,Prime
4578,9167,Composite,Prime,Composite,Prime
4579,9169,Composite,Prime,Composite,Prime
4580,9171,Composite,Composite,Composite,Prime
4583,9177,Composite,Prime,Composite,Prime
4584,9179,Composite,Prime,Composite,Prime
4585,9181,Prime,Composite,Composite,Prime
4586,9183,Composite,Prime,Prime,Prime
4590,9191,Composite,Composite,Composite,Prime
4591,9193,Composite,Prime,Composite,Prime
4593,9197,Composite,Prime,Prime,Prime
4595,9201,Composite,Composite,Composite,Prime
4600,9211,Composite,Composite,Composite,Prime
4601,9213,Composite,Prime,Composite,Prime
4603,9217,Composite,Prime,Composite,Prime
4605,9221,Prime,Composite,Composite,Prime
4606,9223,Composite,Prime,Prime,Prime
4609,9229,Composite,Prime,Composite,Prime
4610,9231,Composite,Composite,Composite,Prime
4613,9237,Composite,Prime,Prime,Prime
4615,9241,Prime,Composite,Composite,Prime
4616,9243,Composite,Prime,Composite,Prime
4618,9247,Composite,Prime,Prime,Prime
4620,9251,Composite,Composite,Composite,Prime
4621,9253,Composite,Prime,Composite,Prime
4624,9259,Composite,Prime,Composite,Prime
4625,9261,Composite,Composite,Composite,Prime
4626,9263,Composite,Prime,Composite,Prime
4628,9267,Composite,Prime,Prime,Prime
4629,9269,Composite,Prime,Composite,Prime
4630,9271,Composite,Composite,Composite,Prime
4631,9273,Composite,Prime,Composite,Prime
4635,9281,Prime,Composite,Composite,Prime
4638,9287,Composite,Prime,Prime,Prime
4640,9291,Composite,Composite,Composite,Prime
4644,9299,Composite,Prime,Composite,Prime
4645,9301,Composite,Composite,Composite,Prime
4648,9307,Composite,Prime,Composite,Prime
4650,9311,Prime,Composite,Composite,Prime
4651,9313,Composite,Prime,Composite,Prime
4653,9317,Composite,Prime,Composite,Prime
4655,9321,Composite,Composite,Composite,Prime
4658,9327,Composite,Prime,Prime,Prime
4659,9329,Composite,Prime,Prime,Prime
4660,9331,Composite,Composite,Composite,Prime
4661,9333,Composite,Prime,Composite,Prime
4665,9341,Prime,Composite,Composite,Prime
4668,9347,Composite,Prime,Composite,Prime
4670,9351,Composite,Composite,Composite,Prime
4671,9353,Composite,Prime,Composite,Prime
4673,9357,Composite,Prime,Prime,Prime
4675,9361,Composite,Composite,Composite,Prime
4676,9363,Composite,Prime,Prime,Prime
4678,9367,Composite,Prime,Composite,Prime
4680,9371,Prime,Composite,Composite,Prime
4684,9379,Composite,Prime,Composite,Prime
4685,9381,Composite,Composite,Composite,Prime
4686,9383,Composite,Prime,Composite,Prime
4689,9389,Composite,Prime,Composite,Prime
4690,9391,Prime,Composite,Composite,Prime
4691,9393,Composite,Prime,Composite,Prime
4695,9401,Composite,Composite,Composite,Prime
4698,9407,Composite,Prime,Composite,Prime
4699,9409,Composite,Prime,Composite,Prime
4700,9411,Composite,Composite,Composite,Prime
4703,9417,Composite,Prime,Composite,Prime
4705,9421,Prime,Composite,Composite,Prime
4706,9423,Composite,Prime,Prime,Prime
4708,9427,Composite,Prime,Composite,Prime
4710,9431,Prime,Composite,Composite,Prime
4715,9441,Composite,Composite,Composite,Prime
4718,9447,Composite,Prime,Prime,Prime
4719,9449,Composite,Prime,Composite,Prime
4720,9451,Composite,Composite,Composite,Prime
4721,9453,Composite,Prime,Composite,Prime
4723,9457,Composite,Prime,Composite,Prime
4725,9461,Prime,Composite,Composite,Prime
4729,9469,Composite,Prime,Composite,Prime
4730,9471,Composite,Composite,Composite,Prime
4735,9481,Composite,Composite,Composite,Prime
4736,9483,Composite,Prime,Composite,Prime
4738,9487,Composite,Prime,Composite,Prime
4740,9491,Prime,Composite,Composite,Prime
4741,9493,Composite,Prime,Composite,Prime
4745,9501,Composite,Composite,Composite,Prime
4746,9503,Composite,Prime,Composite,Prime
4748,9507,Composite,Prime,Prime,Prime
4749,9509,Composite,Prime,Composite,Prime
4750,9511,Prime,Composite,Composite,Prime
4753,9517,Composite,Prime,Composite,Prime
4755,9521,Prime,Composite,Composite,Prime
4756,9523,Composite,Prime,Composite,Prime
4758,9527,Composite,Prime,Prime,Prime
4759,9529,Composite,Prime,Composite,Prime
4760,9531,Composite,Composite,Composite,Prime
4763,9537,Composite,Prime,Composite,Prime
4765,9541,Composite,Composite,Composite,Prime
4766,9543,Composite,Prime,Prime,Prime
4770,9551,Prime,Composite,Composite,Prime
4771,9553,Composite,Prime,Composite,Prime
4773,9557,Composite,Prime,Composite,Prime
4774,9559,Composite,Prime,Composite,Prime
4775,9561,Composite,Composite,Composite,Prime
4776,9563,Composite,Prime,Composite,Prime
4780,9571,Composite,Composite,Composite,Prime
4781,9573,Composite,Prime,Prime,Prime
4783,9577,Composite,Prime,Composite,Prime
4785,9581,Composite,Composite,Composite,Prime
4789,9589,Composite,Prime,Composite,Prime
4790,9591,Composite,Composite,Composite,Prime
4791,9593,Composite,Prime,Composite,Prime
4793,9597,Composite,Prime,Prime,Prime
4794,9599,Composite,Prime,Prime,Prime
4795,9601,Prime,Composite,Composite,Prime
4796,9603,Composite,Prime,Composite,Prime
4798,9607,Composite,Prime,Composite,Prime
4800,9611,Composite,Composite,Composite,Prime
4803,9617,Composite,Prime,Composite,Prime
4805,9621,Composite,Composite,Composite,Prime
4808,9627,Composite,Prime,Prime,Prime
4810,9631,Prime,Composite,Composite,Prime
4811,9633,Composite,Prime,Composite,Prime
4813,9637,Composite,Prime,Composite,Prime
4815,9641,Composite,Composite,Composite,Prime
4818,9647,Composite,Prime,Composite,Prime
4820,9651,Composite,Composite,Composite,Prime
4824,9659,Composite,Prime,Composite,Prime
4825,9661,Prime,Composite,Composite,Prime
4826,9663,Composite,Prime,Prime,Prime
4828,9667,Composite,Prime,Prime,Prime
4830,9671,Composite,Composite,Composite,Prime
4831,9673,Composite,Prime,Composite,Prime
4835,9681,Composite,Composite,Composite,Prime
4836,9683,Composite,Prime,Prime,Prime
4838,9687,Composite,Prime,Prime,Prime
4840,9691,Composite,Composite,Composite,Prime
4841,9693,Composite,Prime,Prime,Prime
4845,9701,Composite,Composite,Composite,Prime
4846,9703,Composite,Prime,Composite,Prime
4848,9707,Composite,Prime,Prime,Prime
4850,9711,Composite,Composite,Composite,Prime
4851,9713,Composite,Prime,Composite,Prime
4853,9717,Composite,Prime,Composite,Prime
4855,9721,Prime,Composite,Composite,Prime
4858,9727,Composite,Prime,Composite,Prime
4860,9731,Composite,Composite,Composite,Prime
4863,9737,Composite,Prime,Composite,Prime
4865,9741,Composite,Composite,Composite,Prime
4870,9751,Composite,Composite,Composite,Prime
4871,9753,Composite,Prime,Prime,Prime
4873,9757,Composite,Prime,Composite,Prime
4875,9761,Composite,Composite,Composite,Prime
4876,9763,Composite,Prime,Prime,Prime
4880,9771,Composite,Composite,Composite,Prime
4881,9773,Composite,Prime,Composite,Prime
4883,9777,Composite,Prime,Prime,Prime
4885,9781,Prime,Composite,Composite,Prime
4886,9783,Composite,Prime,Prime,Prime
4890,9791,Prime,Composite,Composite,Prime
4893,9797,Composite,Prime,Composite,Prime
4894,9799,Composite,Prime,Composite,Prime
4895,9801,Composite,Composite,Composite,Prime
4898,9807,Composite,Prime,Prime,Prime
4899,9809,Composite,Prime,Composite,Prime
4900,9811,Prime,Composite,Composite,Prime
4901,9813,Composite,Prime,Prime,Prime
4905,9821,Composite,Composite,Composite,Prime
4906,9823,Composite,Prime,Composite,Prime
4908,9827,Composite,Prime,Composite,Prime
4910,9831,Composite,Composite,Composite,Prime
4915,9841,Composite,Composite,Composite,Prime
4916,9843,Composite,Prime,Composite,Prime
4918,9847,Composite,Prime,Composite,Prime
4920,9851,Prime,Composite,Composite,Prime
4921,9853,Composite,Prime,Composite,Prime
4925,9861,Composite,Composite,Composite,Prime
4928,9867,Composite,Prime,Composite,Prime
4929,9869,Composite,Prime,Composite,Prime
4930,9871,Prime,Composite,Composite,Prime
4931,9873,Composite,Prime,Prime,Prime
4933,9877,Composite,Prime,Composite,Prime
4935,9881,Composite,Composite,Composite,Prime
4939,9889,Composite,Prime,Composite,Prime
4940,9891,Composite,Composite,Composite,Prime
4941,9893,Composite,Prime,Prime,Prime
4943,9897,Composite,Prime,Prime,Prime
4944,9899,Composite,Prime,Prime,Prime
4945,9901,Prime,Composite,Composite,Prime
4946,9903,Composite,Prime,Prime,Prime
4950,9911,Composite,Composite,Composite,Prime
4951,9913,Composite,Prime,Prime,Prime
4953,9917,Composite,Prime,Prime,Prime
4955,9921,Composite,Composite,Composite,Prime
4960,9931,Prime,Composite,Composite,Prime
4963,9937,Composite,Prime,Composite,Prime
4965,9941,Prime,Composite,Composite,Prime
4966,9943,Composite,Prime,Composite,Prime
4968,9947,Composite,Prime,Composite,Prime
4970,9951,Composite,Composite,Composite,Prime
4971,9953,Composite,Prime,Composite,Prime
4973,9957,Composite,Prime,Prime,Prime
4974,9959,Composite,Prime,Composite,Prime
4975,9961,Composite,Composite,Composite,Prime
4976,9963,Composite,Prime,Composite,Prime
4980,9971,Composite,Composite,Composite,Prime
4983,9977,Composite,Prime,Composite,Prime
4984,9979,Composite,Prime,Composite,Prime
4985,9981,Composite,Composite,Composite,Prime
4986,9983,Composite,Prime,Composite,Prime
4988,9987,Composite,Prime,Prime,Prime
4990,9991,Composite,Composite,Composite,Prime
4991,9993,Composite,Prime,Prime,Prime
4993,9997,Composite,Prime,Composite,Prime
